name,price,amount
Arctic Silver 5 High-Density Polysynthetic Silver,5.95,3.5
Thermal Grizzly Kryonaut,6.9,1
Prolimatech PK-Zero,166.9,600
ARCTIC MX-6,7.99,4
Thermal Grizzly Kryonaut Extreme,17.99,2
ARCTIC MX-4 (2019),6.99,4
Noctua NT-H2,12.95,3.5
Corsair TM30,7.99,3
Noctua NT-H1,8.94,3.5
Arctic Silver Ceramique 2 Tri-Linear,10.25,2.7
ARCTIC MX-6,5.99,2
Corsair XTM70,24.99,3
Thermal Grizzly Conductonaut Extreme,68.59,5
ARCTIC MX-6,10.99,8
Thermal Grizzly Kryonaut Extreme,94.99,33.84
Thermal Grizzly Kryonaut,19,5.5
Noctua NT-H2,30.6,10
ARCTIC MX-4,,4
KINGPINcooling KPx,55.15,30
KINGPINcooling KPx,11.51,1
Thermal Grizzly Conductonaut Extreme,16.95,1
Corsair XTM50,14.99,5
Zalman STC8,4.99,1.5
Gelid Solutions GC-Extreme,9.95,3.5
Thermal Grizzly Conductonaut,8.35,1
Thermal Grizzly Hydronaut,12.99,3.9
Thermal Grizzly Kryonaut,29.95,11.1
Cooler Master HTK-002,9.68,0.01
Thermal Grizzly Aeronaut,8.15,3.9
Arctic Silver 5 High-Density Polysynthetic Silver,20.57,12
Thermalright TF7,4.99,2
ARCTIC MX-4 (2019),11.98,8
ARCTIC MX-4,40.85,20
Cooler Master CryoFuze,7.99,2
ARCTIC MX-4 (2019),24.99,45
Prolimatech PK-3 Nano Aluminum High-Grade,44.99,30
ARCTIC MX-4,13.99,20
StarTech Metal Oxide,9.99,1.5
KINGPINcooling KPx,38.99,10
"Innovation Cooling Diamond ""7 Carat""",19.98,1.5
ARCTIC MX-5,14.99,4
ARCTIC MX-2,,4
Zalman STC7,5.49,4
be quiet! C2 Pro,7.9,1
Prolimatech PK-3 Nano Aluminum High-Grade,11.99,1.5
Prolimatech PK-3 Nano Aluminum High-Grade,22.96,5
be quiet! DC2,6.9,3
Thermalright TF9,,1.5
Zalman STC9,5.99,4
Thermaltake CL-O002-GROSGM-A,12.99,40
Deepcool DM9,,1.5
ARCTIC MX-5,15.17,2
Cooler Master IC ESSENTIAL E1,6.99,3.75
ARCTIC MX-4 (2019),,2
Cooler Master MasterGel Maker,18.48,4
Xilence ZUB-XPTP,9.6,1.5
Thermalright TFX,,2
Cooler Master MasterGel Pro,14.99,1.5
Deepcool Z5,,3
NZXT High-performance,,15
Thermaltake TG-50,27.25,4
Cooler Master MasterGel Maker,22.1,1.5
Sunbeam Iceberg TS-IB,,1
Gelid Solutions GC-Extreme,17.89,10
Cooler Master CryoFuze Violet,,2
Prolimatech PK-1,44.8,30
Thermalright TF8,20.79,2
Deepcool Z3,,1.5
NZXT High-performance,,3
Thermalright TF4,,1.5
Prolimatech PK-Zero,,300
EK EK-TIM Ectotherm,,5
Prolimatech PK-Zero,13.99,5
Thermaltake CL-O004-GROSGM-A,8.99,4
Cooler Master IC ESSENTIAL E2,,3.5
ARCTIC MX-5 Incl. Spatula,,8
Arctic Silver Ceramique 2 Tri-Linear,14.68,25
EVGA Frostbite 2,9.94,2.5
Deepcool DM9,,4
StarTech HeatGrease,7.99,20
Coollaboratory Liquid Ultra,,0.15
Thermalright TF9,8.89,2.9
Thermaltake TG-30,11.99,4
Xilence ZUB-XPTP.X5,14.16,3
Prolimatech PK-2 Nano Aluminum High-Grade,36.51,30
Antec 77064,,1
be quiet! DC1,,3
Deepcool DP-TIM-Z10-1,,5
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,1.75
ARCTIC MX-2 2019 Edition,,4
Gelid Solutions GC-4,,10
TUNIQ TX-4 Extreme Performance,12.99,1
Thermalright Chill Factor 3,,4
Prolimatech PK-1,14.99,5
Masscool Stars-700,5.99,0.5
Prolimatech PK-2 Nano Aluminum High-Grade,10.37,1.5
ARCTIC MX-2,,65
Thermaltake CL-O001-GROSGM-A,11.98,1.5
Gelid Solutions GC-Supreme,,7
Rosewill RCX-TC001,8,5
Cooler Master ThermalFusion 400,,4
TUNIQ TX-2,,3.5
Thermalright TFX,,6.2
ARCTIC MX-5 Incl. Spatula,,2
ARCTIC MX-5 Incl. Spatula,,20
Prolimatech PK-2 Nano Aluminum High-Grade,17.59,5
Thermalright TF8 EX,,1.5
Gelid Solutions GC-4,,3.5
Cooler Master IceFusion,,40
Cooler Master IceFusion,,200
Zalman ZM-STG2,,3.5
Xigmatek PTI-G3606,,3
Thermaltake CL-O0028,,4
Prolimatech PK-Zero,,1.5
CRYORIG CP7,,4
Phanteks PH-NDC_02,15.99,2
Cooler Master MasterGel Regular,,1.5
NOX Thermal 880,,23
Akasa AK-TCW-03,,5
ARCTIC MX-5 Incl. Spatula,,4
Iceberg Thermal FUZEIce,,3.5
Gelid Solutions GC-4,,1
Gelid Solutions GC-Extreme,,3.5
Deepcool EX750,,5
Prolimatech PK-Zero,,30
Antec Formula 7 Nano Diamond,,4
Antec Formula 6 Nano Diamond,,4
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,14
Zalman ZM - STG1,,3.5
Evercool TC-25,,25
Xigmatek PTI-G4512,,4
TUNIQ TX-2 Extreme,,1
Masscool G751 Shin-Etsu,,0.5
Masscool Fanner-420,,2
ARCTIC MX-2,,30
Arctic Silver Arctic Alumina,,5
Rosewill RCX-TC090PRO,,20
Biostar TC-DIAMOND,,1.5
Coollaboratory Liquid Pro,,0.15
Xigmatek Freezing Point G4718,,4
Evercool STC-01,,4
Syba CL-PTSL-COOL,,1.5
Prolimatech PK-1,,1.5
Sunbeam GI-1,,3.5
Thermene Graphene,,9
Deepcool Z9,,3
Evercool STC-02,,3
Logisys Z5,,3
Thermaltake CLZ0022,,4
Xigmatek Freezing Point G4718,,4
Cooler Master Extreme Fusion X1,,1.5
CRYORIG CP15,,4
CRYORIG CP5,,4
Innovation Cooling ICD24,,4.8
Graphitene GTP-5,,3.5
Gelid Solutions GC-2,,7
ARCTIC MX-2,,30
ARCTIC MX-2,,65
Cooler Master MasterGel Maker,,1.5
Thermalright TF8,,5.8
Thermalright Silver King,,1
ARCTIC MX-5,,8
ARCTIC MX-5,,20
Iceberg Thermal FUZEIce,,7
Iceberg Thermal FUZEIce Plus,,3.5
Iceberg Thermal FUZEIce Plus,,7
Gelid Solutions GC-Extreme,,1
Gelid Solutions GC-Extreme,,10
ARCTIC MX-2,,8
Deepcool EX750,,3
Enermax ETC521,,3
YEYIAN YCT-PHTC-01,,2
Thermalright TF8 EX,,2.9
Scythe Thermal Elixer G,,3.5
Scythe Thermal Elixer 2,9.99,5
